Year,Variable,Variable Label
2022,lf_7ftp,Labor Force: 20-44 YO: Worked Full Time Year Round Percent
2022,lf_7ptp,Labor Force: 20-44 YO: Worked Less Than Full Time Year Round Percent
2022,lf_7nwp,Labor Force: 20-44 YO: Did Not Work in Past 12 Mos Percent
2022,lf_8ftp,Labor Force: 45-64 YO: Worked Full Time Year Round Percent
2022,lf_8ptp,Labor Force: 45-64 YO: Worked Less Than Full Time Year Round Percent
2022,lf_8nwp,Labor Force: 45-64 YO: Did Not Work in Past 12 Mos Percent
2022,lf_9ftp,Labor Force: 65+ YO: Worked Full Time Year Round Percent
2022,lf_9ptp,Labor Force: 65+ YO: Worked Less Than Full Time Year Round Percent
2022,lf_9nwp,Labor Force: 65+ YO: Did Not Work in Past 12 Mos Percent
2022,db_oa3p,Disability: BG: 18+yo Percent
2022,db_oa6p,Disability: BG: 18-64yo Percent
2022,db_oa7p,Disability: BG: 65+yo Percent
2022,db_ha0p,Disability: TR: Hearing: All Percent
2022,db_ha1p,Disability: TR: Hearing: Under 5yo Percent
2022,db_ha2p,Disability: TR: Hearing: 5-17yo Percent
2022,db_ha3p,Disability: TR: Hearing: Under 18yo Percent
2022,db_ha4p,Disability: TR: Hearing: 18-34yo Percent
2022,db_ha5p,Disability: TR: Hearing: 35-64yo Percent
2022,db_ha6p,Disability: TR: Hearing: 18-64yo Percent
2022,db_ha7p,Disability: TR: Hearing: 65+yo Percent
2022,db_ha8p,Disability: TR: Hearing: 65-74yo Percent
2022,db_ha9p,Disability: TR: Hearing: 75+yo Percent
2022,db_va0p,Disability: TR: Vision: All Percent
2022,db_va1p,Disability: TR: Vision: Under 5yo Percent
2022,db_va2p,Disability: TR: Vision: 5-17yo Percent
2022,db_va3p,Disability: TR: Vision: Under 18yo Percent
2022,db_va4p,Disability: TR: Vision: 18-34yo Percent
2022,db_va5p,Disability: TR: Vision: 35-64yo Percent
2022,db_va6p,Disability: TR: Vision: 18-64yo Percent
2022,db_va7p,Disability: TR: Vision: 65+yo Percent
2022,db_va8p,Disability: TR: Vision: 65-74yo Percent
2022,db_va9p,Disability: TR: Vision: 75+yo Percent
2022,db_ca0p,Disability: TR: Cognitive: All Percent
2022,db_ca2p,Disability: TR: Cognitive: 5-17yo Percent
2022,db_ca4p,Disability: TR: Cognitive: 18-34yo Percent
2022,db_ca5p,Disability: TR: Cognitive: 35-64yo Percent
2022,db_ca6p,Disability: TR: Cognitive: 18-64yo Percent
2022,db_ca7p,Disability: TR: Cognitive: 65+yo Percent
2022,db_ca8p,Disability: TR: Cognitive: 65-74yo Percent
2022,db_ca9p,Disability: TR: Cognitive: 75+yo Percent
2022,db_aa0p,Disability: TR: Ambulatory: All Percent
2022,db_aa2p,Disability: TR: Ambulatory: 5-17yo Percent
2022,db_aa4p,Disability: TR: Ambulatory: 18-34yo Percent
2022,db_aa5p,Disability: TR: Ambulatory: 35-64yo Percent
2022,db_aa6p,Disability: TR: Ambulatory: 18-64yo Percent
2022,db_aa7p,Disability: TR: Ambulatory: 65+yo Percent
2022,db_aa8p,Disability: TR: Ambulatory: 65-74yo Percent
2022,db_aa9p,Disability: TR: Ambulatory: 75+yo Percent
2022,db_sa0p,Disability: TR: Self-Care: All Percent
2022,db_sa2p,Disability: TR: Self-Care: 5-17yo Percent
2022,db_sa4p,Disability: TR: Self-Care: 18-34yo Percent
2022,db_sa5p,Disability: TR: Self-Care: 35-64yo Percent
2022,db_sa6p,Disability: TR: Self-Care: 18-64yo Percent
2022,db_sa7p,Disability: TR: Self-Care: 65+yo Percent
2022,db_sa8p,Disability: TR: Self-Care: 65-74yo Percent
2022,db_sa9p,Disability: TR: Self-Care: 75+yo Percent
2022,db_ia0p,Disability: TR: Independent Living: All Percent
2022,db_ia4p,Disability: TR: Independent Living: 18-34yo Percent
2022,db_ia5p,Disability: TR: Independent Living: 35-64yo Percent
2022,db_ia6p,Disability: TR: Independent Living: 18-64yo Percent
2022,db_ia7p,Disability: TR: Independent Living: 65+yo Percent
2022,db_ia8p,Disability: TR: Independent Living: 65-74yo Percent
2022,db_ia9p,Disability: TR: Independent Living: 75+yo Percent
2023,hl_lex,Health: Life Expectancy: Years at Birth 
2023,hl_bdrp,Health: Behavior: Binge Drinking %
2023,hl_ngmp,Health: Self-Reported Status: Adults:  Not Good Mental Health %
2023,dx_dprp,Health: Diagnosis: Depression %
2023,hl_cmdp,Health: Behavior: Completed Routine Checkup with Doctor in Past Year %
2023,dx_canp,Health: Diagnosis: Cancer %
2023,dx_strp,Health: Diagnosis: Stroke %
2023,dx_diap,Health: Diagnosis: Diabetes %
2023,dx_htnp,Health: Diagnosis: Hypertension %
2023,dx_obsp,Health: Diagnosis: Obesity %
2022,fs_fsrp,Food Stamps: Households that Received Food Stamps - SNAP in the Past 12 ...
2022,oc_amap,"Occupation: All: MBSA (Management, Business, Science, and Arts): Any Per..."
2022,oc_amfp,"Occupation: All: MBF (Management, Business, and Financial): Any Percent"
2022,oc_ammp,Occupation: All: MBF: Management Percent
2022,oc_ambp,Occupation: All: MBF: Business and Financial Operations Percent
2022,oc_acap,"Occupation: All: CES (Computer, Engineering, and Science): Any Percent"
2022,oc_accp,Occupation: All: CES: Computer and Mathematical Percent
2022,oc_acep,Occupation: All: CES: Architecture and Engineering Percent
2022,oc_acsp,"Occupation: All: CES: Life, Physical, and Social Science Percent"
2022,oc_alap,"Occupation: All: ELCSAM (Education, Legal, Community Service, Arts and M..."
2022,oc_alsp,Occupation: All: ELCSAM: Community and Social Services Percent
2022,oc_allp,Occupation: All: ELCSAM: Legal Percent
2022,oc_alep,Occupation: All: ELCSAM: Educational and Library Percent
2022,oc_almp,"Occupation: All: ELCSAM: Arts, Design, Entertainment, Sports and Media P..."
2022,oc_ahap,Occupation: All: HCPT (Healthcare Practitioners and Technical): Any Percent
2022,oc_ahpp,Occupation: All: HCPT: Health Diagnosing and Treating Percent
2022,oc_ahtp,Occupation: All: HCPT: Health Technologists and Technicians Percent
2022,oc_asap,Occupation: All: Service: Any Percent
2022,oc_ashp,Occupation: All: Service: Any Percent
2022,oc_apap,Occupation: All: PS (Protective Services): Any Percent
2022,oc_apfp,Occupation: All: PS: Firefighting and Prevention Percent
2022,oc_aplp,Occupation: All: PS: Law Enforcement Percent
2022,oc_apsp,Occupation: All: PS: Food Preparation and Service Related Percent
2022,oc_apbp,Occupation: All: PS: Building and Grounds Cleaning and Maintenance Percent
2022,oc_appp,Occupation: All: PS: Personal Care and Service Percent
2022,oc_aoap,Occupation: All: SO (Sales and Office): Any Percent
2022,oc_aosp,Occupation: All: SO: Sales Percent
2022,oc_aoop,Occupation: All: SO: Office and Administrative Support Percent
2022,oc_anap,"Occupation: All: NRCM (Natural Resources, Construction, and Maintenance)..."
2022,oc_anfp,"Occupation: All: NRCM: Farming, Fishing, and Forestry Percent"
2022,oc_ancp,Occupation: All: NRCM: Construction and Extraction Percent
2022,oc_anmp,"Occupation: All: NRCM: Installation, Maintenance, and Repair Percent"
2022,oc_atap,"Occupation: All: PTM (Production, Transportation, and Materiel Moving): ..."
2022,oc_atpp,Occupation: All: PTM: Production Percent
2022,oc_attp,Occupation: All: PTM: Transportation Percent
2022,oc_atmp,Occupation: All: PTM: Material Moving Percent
2022,oc_fdep,Occupation: Denominator: FT: Individuals Percent
2022,oc_pdep,Occupation: Denominator: PT: Individuals Percent
2022,id_amap,"Industry: All: AFFHM (Agriculture, Forestry, Fishing and Hunting, and Mi..."
2022,id_amfp,"Industry: All: AFFHM: Agriculture, Forestry, Fishing, and Hunting Percent"
2022,id_amep,"Industry: All: AFFHM: Mining, Quarrying, and Oil and Gas Extraction Percent"
2022,id_amcp,Industry: All: AFFHM: Construction Percent
2022,id_ammp,Industry: All: AFFHM: Manufacturing Percent
2022,id_amwp,Industry: All: AFFHM: Wholesale Trade Percent
2022,id_amrp,Industry: All: AFFHM: Retail Trade Percent
2022,id_atap,"Industry: All: TWU (Transportation and Warehousing, and Utilities): Any ..."
2022,id_attp,Industry: All: TWU: Transportation and Warehousing Percent
2022,id_atup,Industry: All: TWU: Utilities Percent
2022,id_atip,Industry: All: TWU: Information Percent
2022,id_afap,"Industry: All: FIRE (Finance, Insurance, Real Estate, Rental and Leasing..."
2022,id_affp,Industry: All: FIRE: Finance and Insurance Percent
2022,id_afrp,"Industry: All: FIRE: Real Estate, Rental and Leasing Percent"
2022,id_apap,"Industry: All: PSMAW (Professional, Scientific, Management, Administrati..."
2022,id_appp,"Industry: All: PSMAW: Professional, Scientific, and Technical Percent"
2022,id_apmp,Industry: All: PSMAW: Management of Companies and Enterprises Percent
2022,id_apsp,"Industry: All: PSMAW: Administrative, Support, and Waste Management Percent"
2022,id_asap,"Industry: All: EHCS (Educational Services, Health Care and Social Assist..."
2022,id_asep,Industry: All: EHCS: Educational Services Percent
2022,id_ashp,Industry: All: EHCS: Health Care and Social Assistance Percent
2022,id_aaap,"Industry: All: AERAF (Arts, Entertainment, Recreation, Accomodation, and..."
2022,id_aaep,"Industry: All: AERAF: Arts, Entertainment, and Recreation Percent"
